threshold,oof_precision,oof_recall,oof_f1,oof_specificity,hard_precision,hard_recall,hard_f1,hard_specificity,hard_accuracy
0.28,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.28500000000000003,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.285714,0.49765258215962443,0.8907563025210085,0.6385542168674699,0.5114155251141552,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.29,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.295,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.3,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.305,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.31,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.315,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.32,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.325,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.33,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.335,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.34,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.34500000000000003,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.35000000000000003,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.355,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.36,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.365,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.37,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.375,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.38,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.385,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.39,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.395,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.4,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.405,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.41000000000000003,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
