lon,lat,p_raw,p_raw_std,p_calibrated,pred_label,priority
78.93755415315805,9.2385529474253,0.009996785,0.0,0.0,0,low
78.92857100031686,9.2385529474253,0.0136680165,0.0,0.0,0,low
78.91958784747567,9.2385529474253,0.016092053,0.0,0.0,0,low
78.91060469463447,9.2385529474253,0.027766347,0.0,0.0,0,low
79.34179603101184,9.247536100266496,0.31770968,0.0,0.0,0,low
79.27891396112346,9.247536100266496,0.16600028,0.0,0.0,0,low
79.26993080828228,9.247536100266496,0.18814123,0.0,0.0,0,low
79.34179603101184,9.265502405948885,0.3575694,0.0,0.0,0,low
79.67417268613606,9.040923584919003,0.3172513,0.0,0.0,0,low
79.05433514009358,9.759575812214624,0.017676238,0.0,0.0,0,low
79.13518351566435,9.247536100266496,0.41965014,0.0,0.0,0,low
79.09925090429957,9.2385529474253,0.036721405,0.0,0.0,0,low
79.09026775145837,9.2385529474253,0.026800325,0.0,0.0,0,low
79.08128459861717,9.2385529474253,0.031146556,0.0,0.0,0,low
79.07230144577598,9.2385529474253,0.055536117,0.0,0.0,0,low
79.06331829293478,9.2385529474253,0.059325643,0.0,0.0,0,low
79.05433514009358,9.2385529474253,0.12506033,0.0,0.0,0,low
79.0453519872524,9.2385529474253,0.03308495,0.0,0.0,0,low
79.0363688344112,9.2385529474253,0.029407848,0.0,0.0,0,low
79.02738568157001,9.2385529474253,0.039959937,0.0,0.0,0,low
79.01840252872881,9.2385529474253,0.0129503915,0.0,0.0,0,low
79.00941937588762,9.2385529474253,0.023197416,0.0,0.0,0,low
79.00043622304642,9.2385529474253,0.13500057,0.0,0.0,0,low
78.99145307020522,9.2385529474253,0.1031009,0.0,0.0,0,low
78.98246991736403,9.2385529474253,0.108056225,0.0,0.0,0,low
78.97348676452283,9.2385529474253,0.17430426,0.0,0.0,0,low
78.96450361168164,9.2385529474253,0.1144099,0.0,0.0,0,low
79.74603790886562,9.660761130961475,0.14627482,0.0,0.0,0,low
79.73705475602442,9.660761130961475,0.07176255,0.0,0.0,0,low
79.72807160318324,9.660761130961475,0.051476024,0.0,0.0,0,low
79.06331829293478,9.768558965055815,0.015298444,0.0,0.0,0,low
79.28789711396466,9.2385529474253,0.15104122,0.0,0.0,0,low
79.27891396112346,9.2385529474253,0.2647577,0.0,0.0,0,low
